"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat May 02 17:46:18 UTC 2026","Sat May 02 17:46:18 UTC 2026","0","ProductListingPaginationSuite","ProductListingTests","com.company.qa.tests.ProductListingTest","com.company.qa.tests.ProductListingTest","verifyProductCardDetailsFormat","PLP_006","For every card on page 1, assert price matches regex ^\$\d+\.\d{2}$, rating is between 0.0 and 5.0, and name is not blank. Also verify (negative test) that an invalid price format (no '$') does NOT match the regex, confirming the format guard would catch bad data."
"broken","Sat May 02 17:46:17 UTC 2026","Sat May 02 17:46:17 UTC 2026","0","ProductListingPaginationSuite","ProductListingTests","com.company.qa.tests.ProductListingTest","com.company.qa.tests.ProductListingTest","setUp","setUp",""
"skipped","Sat May 02 17:46:16 UTC 2026","Sat May 02 17:46:16 UTC 2026","1","ProductListingPaginationSuite","ProductListingTests","com.company.qa.tests.ProductListingTest","com.company.qa.tests.ProductListingTest","findProductByTargetName","PLP_001","Iterate each category filter, click it, count the visible product cards, and assert the count is greater than zero. Store and log results per category."
"skipped","Sat May 02 17:46:16 UTC 2026","Sat May 02 17:46:16 UTC 2026","0","ProductListingPaginationSuite","ProductListingTests","com.company.qa.tests.ProductListingTest","com.company.qa.tests.ProductListingTest","findMostExpensiveProductPerCategory","PLP_004","For each category, collect all cards across all pages, parse prices, find the most expensive product per category, and assert price > 0."
"broken","Sat May 02 17:46:18 UTC 2026","Sat May 02 17:46:18 UTC 2026","1","ProductListingPaginationSuite","ProductListingTests","com.company.qa.tests.ProductListingTest","com.company.qa.tests.ProductListingTest","openChallengePage","openChallengePage",""
"skipped","Sat May 02 17:46:17 UTC 2026","Sat May 02 17:46:17 UTC 2026","0","ProductListingPaginationSuite","ProductListingTests","com.company.qa.tests.ProductListingTest","com.company.qa.tests.ProductListingTest","validatePaginationControls","PLP_005","On page 1: assert Previous is disabled and Next is enabled. Navigate to the last page: assert Next is disabled and Previous is enabled. Assert clicking a page number correctly changes the active page indicator."
"skipped","Sat May 02 17:46:17 UTC 2026","Sat May 02 17:46:17 UTC 2026","0","ProductListingPaginationSuite","ProductListingTests","com.company.qa.tests.ProductListingTest","com.company.qa.tests.ProductListingTest","findSpecificProductPage","PLP_002","Search all pages for a hard-coded product name. Navigate page-by-page until the product is found. Assert the product exists and log the page number."
"skipped","Sat May 02 17:46:16 UTC 2026","Sat May 02 17:46:16 UTC 2026","1","ProductListingPaginationSuite","ProductListingTests","com.company.qa.tests.ProductListingTest","com.company.qa.tests.ProductListingTest","findHighestRatedProductPerCategory","PLP_003","For each category, collect all cards across all pages, parse ratings, find the highest-rated product per category, and assert rating > 0."
